# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     55.36     -40.31       5.70       0.00       0.00       0.00       1.35       0.30   15.807         './gold_soln_AV-procd_m140_4.sdf'    'AV-unprocessed.smi:21'
     53.92     -48.34       2.93       0.00       0.00       0.00       1.81       0.42   16.164         './gold_soln_AV-procd_m141_8.sdf'    'AV-unprocessed.smi:21'
     53.00     -50.25       1.75       0.00       0.00       0.00       1.57       0.49   16.053         './gold_soln_AV-procd_m142_3.sdf'    'AV-unprocessed.smi:21'
     51.09     -43.13       2.35       1.00       0.00       0.00       1.41       0.73   15.889         './gold_soln_AV-procd_m143_9.sdf'    'AV-unprocessed.smi:21'
     50.99     -41.05       2.85       1.00       0.00       0.00       1.00       0.39   16.020        './gold_soln_AV-procd_m144_10.sdf'    'AV-unprocessed.smi:21'
     52.34     -46.35       3.00       0.00       0.00       0.00       1.76       0.50   16.040         './gold_soln_AV-procd_m145_8.sdf'    'AV-unprocessed.smi:21'
     50.30     -45.65       2.50       0.58       0.00       0.00       2.65       0.71   16.175         './gold_soln_AV-procd_m146_9.sdf'    'AV-unprocessed.smi:21'
     54.84     -50.16       2.67       0.00       0.00       0.00       2.13       0.73   16.103         './gold_soln_AV-procd_m147_6.sdf'    'AV-unprocessed.smi:21'
     56.38     -50.40       3.69       0.00       0.00       0.00       2.71       0.31   16.007         './gold_soln_AV-procd_m148_5.sdf'    'AV-unprocessed.smi:21'
     54.63     -44.10       2.92       0.80       0.00       0.00       0.50       0.37   16.229         './gold_soln_AV-procd_m149_2.sdf'    'AV-unprocessed.smi:21'
     52.53     -45.63       3.00       0.00       0.00       0.00       1.46       0.72   15.994         './gold_soln_AV-procd_m150_2.sdf'    'AV-unprocessed.smi:21'
     55.52     -40.91       3.93       1.64       0.00       0.00       1.39       0.36   15.773         './gold_soln_AV-procd_m151_1.sdf'    'AV-unprocessed.smi:21'
     56.78     -41.57       3.99       1.51       0.00       0.00       0.92       0.53   15.897         './gold_soln_AV-procd_m152_9.sdf'    'AV-unprocessed.smi:21'
     56.10     -55.92       1.00       0.00       0.00       0.00       1.81       0.80   15.226         './gold_soln_AV-procd_m153_1.sdf'    'AV-unprocessed.smi:21'
     53.33     -50.53       1.89       0.00       0.00       0.00       1.61       0.36   15.615         './gold_soln_AV-procd_m154_8.sdf'    'AV-unprocessed.smi:21'
     52.46     -48.00       2.85       0.00       0.00       0.94       2.05       0.53   15.296         './gold_soln_AV-procd_m155_4.sdf'    'AV-unprocessed.smi:21'
     56.78     -51.21       2.86       0.00       0.00       0.00       1.85       0.71   15.734         './gold_soln_AV-procd_m156_6.sdf'    'AV-unprocessed.smi:21'
     56.77     -52.00       2.72       0.00       0.00       0.00       2.28       1.15   16.016         './gold_soln_AV-procd_m157_9.sdf'    'AV-unprocessed.smi:21'
     57.15     -54.18       1.69       0.00       0.00       0.00       1.45       0.49   15.682         './gold_soln_AV-procd_m158_1.sdf'    'AV-unprocessed.smi:21'
     51.73     -44.70       1.83       1.01       0.00       0.00       1.06       0.63   15.216        './gold_soln_AV-procd_m159_10.sdf'    'AV-unprocessed.smi:21'
     53.70     -49.00       2.16       0.00       0.00       0.00       1.29       0.78   15.404         './gold_soln_AV-procd_m160_6.sdf'    'AV-unprocessed.smi:21'
     57.51     -50.45       3.50       0.00       0.00       0.00       2.12       0.81   15.489         './gold_soln_AV-procd_m161_8.sdf'    'AV-unprocessed.smi:21'
     56.40     -50.57       2.28       0.00       0.00       0.00       0.84       0.67   15.975         './gold_soln_AV-procd_m162_9.sdf'    'AV-unprocessed.smi:21'
     51.59     -45.32       2.93       0.00       0.00       0.00       1.60       0.66   15.328         './gold_soln_AV-procd_m163_7.sdf'    'AV-unprocessed.smi:21'
     58.70     -53.04       1.19       1.00       0.00       0.00       0.86       0.81   15.617         './gold_soln_AV-procd_m164_7.sdf'    'AV-unprocessed.smi:21'
     55.63     -51.25       2.42       0.00       0.00       0.00       1.78       0.68   15.466         './gold_soln_AV-procd_m165_6.sdf'    'AV-unprocessed.smi:21'
     53.81     -48.86       1.00       1.00       0.00       0.00       0.89       0.51   15.350         './gold_soln_AV-procd_m166_5.sdf'    'AV-unprocessed.smi:21'
     53.16     -51.22       0.95       0.00       0.00       0.00       0.79       0.42   15.444         './gold_soln_AV-procd_m167_3.sdf'    'AV-unprocessed.smi:21'
     53.66     -46.48       3.00       0.86       0.00       0.00       2.55       0.70   15.772         './gold_soln_AV-procd_m168_1.sdf'    'AV-unprocessed.smi:21'
     54.70     -43.71       3.31       0.68       0.00       0.00       0.77       0.58   14.783         './gold_soln_AV-procd_m169_8.sdf'    'AV-unprocessed.smi:22'
     54.41     -42.44       4.79       0.00       0.00       0.00       1.49       0.48   14.659         './gold_soln_AV-procd_m170_5.sdf'    'AV-unprocessed.smi:22'
     52.57     -42.33       3.00       0.78       0.00       0.00       0.79       0.45   14.733         './gold_soln_AV-procd_m171_3.sdf'    'AV-unprocessed.smi:22'
     50.40     -38.92       3.00       0.98       0.00       0.00       0.48       0.51   14.834         './gold_soln_AV-procd_m172_8.sdf'    'AV-unprocessed.smi:22'
